Site,RainThresh
il112687,-5
il112736,-3.7
il112931,-5
il113262,-4.3
il113290,-4.2
il113320,-4.9
il113335,-4.1
il113384,-4
il114108,-5
il114198,-5
il114442,-4.8
il114489,-4.9
il114530,-5
il114603,-4.2
il114710,-4.3
il114823,-3.7
il115079,-4.4
il115413,-4.7
il115712,-4.7
il115751,-4.2
il115768,-3.7
il115833,-3.5
il115901,-4.1
il115943,-5
il116011,-5
il116446,-5
il116526,-3.4
il116558,-5
il116579,-4.8
il116610,-5
il116616,-4
il116661,-5
il116711,-4.9
il116753,-4.3
il116910,-4.6
il117004,-5
il117072,-4.4
il117150,-5
il117382,-3.9
il117551,-4.3
il117636,-5
il118147,-4.7
il118179,-4.3
il118293,-4.1
il118684,-4.2
il118740,-4.3
il118916,-3.6
il119021,-5
il119241,-4.8
il119354,-5
in120177,-5
in120200,-4.5
in120676,-4.5
in120784,-5
in121030,-5
in121739,-5
in121747,-5
in122309,-5
in122638,-5
in122738,-5
in122825,-5
in123037,-4.4
in123082,-5
in123418,-3.6
in123513,-5
in123527,-5
in123547,-5
in123777,-5
in124259,-5
in124272,-5
in124662,-5
in124715,-5
in124837,-3.2
in125237,-3.6
in125337,-5
in125407,-5
in126001,-5
in126164,-5
in126435,-4.4
in126580,-5
in126705,-5
in127069,-4.9
in127125,-5
in127298,-4.9
in127482,-5
in127522,-5
in127646,-5
in127935,-5
in128036,-5
in128187,-2.8
in128290,-5
in128698,-5
in129424,-3.3
in129430,-5
in129557,-5
in129670,-5
ks140010,-0.2
ks140264,-0.1
ks140365,0.8
ks140405,-0.8
ks140439,3.4
ks140682,-0.5
ks140693,-0.3
ks140865,0.6
ks141351,-2.7
ks141383,2.1
ks141427,-3.8
ks141522,3.3
ks141559,-1
ks141699,3.5
ks141704,2.7
ks141740,-2.8
ks141767,0
ks141858,-2.3
ks142164,1.2
ks142401,-3.4
ks142432,4
ks142622,-2.3
ks142835,-2.5
ks142975,4
ks142980,2.6
ks143008,-2.5
ks143074,-3.3
ks143100,-0.3
ks143153,3.9
ks143218,1.2
ks143239,1.6
ks143527,0.2
ks143554,2.8
ks143594,-0.9
ks143759,-2.2
ks143810,-1.9
ks143822,-3.1
ks143837,2.7
ks143847,1.9
ks143855,2.4
ks143930,-0.2
ks143954,-3.1
ks143984,-3.4
ks144178,-0.7
ks144313,-0.2
ks144357,0.6
ks144464,2.8
ks144559,-1.9
ks144665,3.5
ks144695,3.4
ks144712,-0.6
ks144972,-1.4
ks145063,-1.5
ks145152,0.1
ks145171,1.3
ks145363,0.2
ks145536,-4
ks145692,1.2
ks145744,-1.4
ks145856,1.6
ks145870,-0.4
ks145888,3.6
ks145906,2.5
ks146128,-1.8
ks146242,-4.3
ks146435,2.3
ks146549,0.8
ks146637,2.3
ks147046,0.1
ks147093,4.7
ks147160,-0.1
ks147271,2.4
ks147305,-2.1
ks147397,3.9
ks147542,1.2
ks147796,-0.2
ks147922,3.7
ks148038,3.4
ks148167,-2
ks148235,4
ks148250,-1.5
ks148287,1.9
ks148495,1.9
ks148563,-1.6
ks148578,0.4
ks148648,1.5
ks148670,-1.7
ks148830,-1.4
ks148946,0
ks148964,-2.5
ks149080,-2.9
ky150254,-5
ky150381,-5
ky150450,-4.9
ky150909,-5
ky151855,-5
ky152040,-5
ky152791,-4.6
ky153430,-5
ky153762,-4.9
ky153929,-5
ky154703,-5
ky154746,-5
ky154898,-5
ky154954,-5
ky155067,-5
ky155243,-5
ky155524,-4
ky155694,-5
ky156110,-5
ky157215,-5
ky157510,-5
ky158551,-5
la160098,-4.1
la160349,-4.8
la160537,-4.3
la160549,-5
la161287,-3.8
la161411,-5
la161565,-3.8
la162212,-4.6
la162367,-4.9
la162534,-5
la163313,-5
la163433,-5
la163800,-4.3
la163979,-4.9
la164355,-4.3
la164674,-4.5
la164700,-5
la165026,-3.3
la165078,-5
la165090,-4.7
la165266,-5
la166244,-4.8
la166303,-3.6
la166394,-5
la166660,-5
la166686,-5
la166938,-4.5
la167767,-5
la168067,-4.5
la168163,-5
la168440,-2.5
la168539,-5
la168923,-5
la169806,-5
ma190120,-2.4
ma190666,-3.8
ma190736,-3
ma190770,-1.8
ma190860,-2.9
ma192451,-3.3
ma192501,1
ma193505,-2
ma194105,-1.6
ma194744,-1.6
ma196486,-3.6
ma196938,-3.1
ma198573,-3.3
ma199923,-2.8
md180015,-2.3
md180465,-3.1
md180700,-2.1
md182325,-2.6
md186620,-1.4
md187330,-3.8
md188380,-2.9
me170275,-2.2
me170355,-3.6
me170480,-3.2
me170814,-1.5
me171175,-2.8
me171628,-3.6
me172765,-3.1
me172878,-2.6
me173046,-3.3
me173261,-4.1
me173892,-2.7
me174086,-2.3
me174781,-1.7
me174927,-3.5
me175261,-1.5
me176905,-2.6
me176937,-1.7
me177479,-2.1
me179891,-4.4
mi200032,-3.8
mi200146,-3
mi200164,-1.6
mi200169,-1.7
mi200230,-1.7
mi200417,-1.8
mi200446,-3.2
mi200552,-2.5
mi200710,-2.9
mi200718,1
mi200779,-3.2
mi200864,-2.1
mi201176,-2.4
mi201299,-3
mi201476,-3.6
mi201492,-1.7
mi201675,-4.2
mi201896,1
mi202015,-3.3
mi202094,-2
mi202250,-2.4
mi202381,-0.3
mi202423,-2.2
mi202445,-1.8
mi202846,-2.8
mi202984,1
mi203096,-0.3
mi203170,-2.9
mi203391,-1.2
mi203429,-3.3
mi203477,1
mi203504,-2.6
mi203529,-2.5
mi203585,1
mi203632,-2
mi203661,-1.9
mi203769,-2.4
mi203823,-3.7
mi203858,-2.3
mi203932,-2.2
mi204078,-2.1
mi204090,-0.3
mi204104,1.7
mi204150,-2.4
mi204502,-2
mi204641,-2.9
